"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2023-10-01","0","947","57","0.06019007391763464","0","5","7","12","0","0","14","0","0","0","18","0","0","11","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-02","0","838","42","0.050119331742243436","4","1","5","11","0","0","14","0","0","0","6","0","0","15","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-03","0","1838","138","0.0750816104461371","10","1","33","27","3","0","51","0","0","0","6","0","0","205","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-04","0","6849","238","0.03474959848153015","26","7","41","39","10","0","76","0","0","0","26","0","0","134","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-05","0","14512","5364","0.36962513781697903","47","4","83","14","12","0","109","0","0","0","5068","0","0","101","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-06","0","8908","134","0.015042658284687921","13","6","15","41","6","0","32","0","0","0","14","0","0","33","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-07","0","8688","101","0.011625230202578269","11","2","13","12","11","0","34","0","0","0","13","0","0","19","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-08","0","3605","49","0.013592233009708738","2","3","8","7","5","0","13","0","0","0","8","0","0","17","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-09","0","2184","131","0.059981684981684984","6","5","27","18","7","0","53","0","0","0","9","0","0","46","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-10","0","1934","91","0.04705274043433299","4","6","20","20","6","0","22","0","0","0","9","0","0","26","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-10-11","0","3255","150","0.04608294930875576","10","6","20","24","13","0","67","0","0","0","8","0","0","27","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
